Time_s,Voltage_V,Current_mA,Power_mW
13.08,3.70,-7.00,26.00
13.11,3.68,13.30,50.00
13.11,3.70,-4.40,16.00
13.14,3.70,-2.20,6.00
13.17,3.70,-0.70,4.00
13.20,3.70,1.60,4.00
13.23,3.66,94.30,4.00
13.23,3.70,0.30,0.00
13.26,3.70,4.50,204.00
13.29,3.70,1.80,6.00
13.32,3.70,3.70,14.00
13.35,3.68,54.60,204.00
13.35,3.70,-0.10,0.00
13.38,3.70,1.10,200.00
13.41,3.70,-0.60,4.00
13.44,3.70,-2.10,10.00
13.47,3.67,109.30,0.00
13.47,3.70,-4.90,20.00
13.50,3.70,-7.30,26.00
13.56,3.70,-7.00,26.00
13.56,3.70,-9.80,36.00
13.59,3.67,127.20,472.00
13.59,3.70,-8.70,32.00
13.62,3.70,-12.90,190.00
13.65,3.70,-11.60,42.00
13.68,3.70,-11.00,42.00
13.71,3.69,-4.90,20.00
13.71,3.70,-11.20,42.00
13.74,3.70,-12.80,46.00
13.77,3.70,-12.90,50.00
13.80,3.70,-12.60,46.00
13.83,3.66,83.50,46.00
13.83,3.70,-13.30,46.00
13.86,3.70,-12.30,200.00
13.89,3.71,-11.60,50.00
13.92,3.70,-14.70,56.00
13.95,3.69,20.60,76.00
13.95,3.70,-13.80,52.00
13.98,3.71,-10.60,40.00
14.01,3.70,-7.10,30.00
14.04,3.70,-5.00,20.00
14.07,3.66,90.80,6.00
14.10,3.70,0.00,36.00
14.10,3.70,54.80,204.00
14.13,3.70,3.60,14.00
14.16,3.70,7.40,26.00
14.19,3.68,73.80,272.00
14.22,3.70,12.60,46.00
14.22,3.70,13.90,50.00
14.25,3.70,0.10,46.00
14.28,3.69,56.10,206.00
14.31,3.67,137.40,86.00
14.34,3.70,31.00,114.00
14.34,3.70,16.70,62.00
14.37,3.70,16.80,62.00
14.40,3.70,16.80,62.00
14.43,3.66,110.30,62.00
14.46,3.70,19.90,368.00
14.46,3.70,14.90,52.00
14.49,3.70,15.90,56.00
14.52,3.70,15.40,52.00
14.55,3.68,27.70,102.00
14.58,3.70,13.70,50.00
14.58,3.70,53.50,196.00
14.61,3.70,6.70,26.00
14.64,3.70,6.30,20.00
14.67,3.66,97.10,10.00
