Time_s,Voltage_V,Current_mA,Power_mW
8.52,3.68,52.50,194.00
8.55,3.68,54.00,200.00
8.58,3.68,53.50,196.00
8.61,3.66,131.10,478.00
8.61,3.68,55.10,204.00
8.64,3.68,53.00,194.00
8.67,3.68,54.20,200.00
8.70,3.68,53.70,196.00
8.73,3.66,127.20,466.00
8.73,3.68,53.50,196.00
8.76,3.68,53.10,196.00
8.79,3.68,54.10,196.00
8.82,3.68,54.10,200.00
8.85,3.66,132.80,472.00
8.85,3.68,55.30,200.00
8.88,3.68,52.80,194.00
8.91,3.68,53.70,196.00
8.94,3.68,52.30,194.00
8.97,3.67,128.80,468.00
8.97,3.68,55.40,200.00
9.00,3.68,53.20,194.00
9.03,3.68,55.00,200.00
9.06,3.68,55.70,200.00
9.09,3.66,127.10,462.00
9.09,3.68,54.90,204.00
9.12,3.68,52.60,194.00
9.15,3.68,53.40,196.00
9.18,3.68,55.40,204.00
9.21,3.66,130.10,462.00
9.21,3.68,54.30,196.00
9.27,3.68,54.10,200.00
9.27,3.68,52.10,190.00
9.30,3.68,54.10,200.00
9.33,3.66,128.20,468.00
9.33,3.68,53.60,196.00
9.36,3.68,55.10,204.00
9.39,3.68,53.30,194.00
9.45,3.68,54.40,200.00
9.45,3.66,129.40,472.00
9.45,3.68,52.60,194.00
9.48,3.68,53.50,196.00
9.51,3.68,53.50,196.00
9.54,3.68,54.40,196.00
9.57,3.66,132.50,472.00
9.57,3.68,54.40,200.00
9.60,3.68,55.40,200.00
9.63,3.68,52.10,190.00
9.66,3.68,54.10,200.00
9.69,3.66,127.60,466.00
9.69,3.68,53.40,196.00
9.72,3.68,55.10,204.00
9.75,3.68,52.70,190.00
9.78,3.68,55.00,200.00
9.81,3.66,130.10,472.00
9.81,3.68,52.30,194.00
9.84,3.68,54.30,200.00
9.87,3.68,53.00,194.00
9.90,3.68,53.90,196.00
9.93,3.66,133.00,476.00
9.93,3.68,52.40,190.00
9.96,3.68,54.10,200.00
9.99,3.68,54.00,200.00
10.02,3.68,52.20,194.00
10.05,3.66,129.30,472.00
10.05,3.68,53.40,196.00
10.08,3.68,54.00,200.00
10.11,3.68,54.90,200.00
10.14,3.68,53.90,196.00
