Time_s,Voltage_V,Current_mA,Power_mW
7.26,3.72,-94.50,354.00
7.32,3.73,-94.70,354.00
7.32,3.70,-77.10,288.00
7.32,3.72,-73.20,272.00
7.35,3.72,-94.40,354.00
7.38,3.72,-93.10,350.00
7.41,3.72,-94.40,354.00
7.44,3.70,-85.80,354.00
7.47,3.69,57.80,6.00
7.47,3.72,-93.90,354.00
7.50,3.72,-93.00,354.00
7.53,3.72,-95.50,358.00
7.56,3.70,-95.50,358.00
7.59,3.68,-26.80,98.00
7.59,3.72,-95.60,358.00
7.62,3.73,-95.50,358.00
7.65,3.72,-95.40,358.00
7.68,3.72,-95.60,358.00
7.71,3.69,59.40,0.00
7.71,3.72,-95.00,354.00
7.74,3.72,-95.90,360.00
7.92,3.72,-94.00,350.00
7.92,3.72,-75.20,282.00
7.92,3.72,-16.90,62.00
7.92,3.72,-77.30,288.00
7.92,3.72,-76.90,286.00
8.04,3.72,-74.60,278.00
8.13,3.69,-77.10,288.00
8.13,3.72,-71.80,266.00
8.13,3.73,-95.00,354.00
8.13,3.72,-75.70,282.00
8.13,3.72,-74.00,278.00
8.16,3.72,-76.40,288.00
8.16,3.72,-74.60,4.00
8.16,3.72,-94.30,354.00
8.16,3.72,-74.60,282.00
8.22,3.72,-75.40,282.00
8.22,3.70,12.40,46.00
8.22,3.70,79.20,292.00
8.22,3.72,-94.30,350.00
8.22,3.72,-77.00,288.00
8.25,3.73,-95.10,354.00
8.28,3.72,-93.80,350.00
8.31,3.69,-69.90,0.00
8.31,3.72,-93.60,350.00
8.34,3.72,-95.60,360.00
8.37,3.73,-94.70,354.00
8.40,3.69,-70.80,350.00
8.43,3.69,-14.00,52.00
8.43,3.73,-94.80,354.00
8.46,3.72,-96.00,358.00
8.55,3.72,-95.30,358.00
8.55,3.71,-75.50,282.00
8.55,3.72,-71.40,266.00
8.55,3.72,-76.10,282.00
8.58,3.72,-94.60,354.00
8.64,3.72,-93.80,350.00
8.64,3.72,-74.30,278.00
8.64,3.72,-74.90,4.00
8.67,3.73,-94.10,354.00
8.70,3.72,-94.20,354.00
8.73,3.72,-93.10,354.00
8.85,3.69,-96.10,358.00
8.85,3.68,-12.50,46.00
8.85,3.72,-76.30,286.00
8.85,3.72,-75.20,278.00
8.88,3.72,-77.40,288.00
8.88,3.68,37.80,6.00
8.88,3.67,58.00,0.00
8.91,3.72,-93.20,350.00
8.94,3.72,-94.20,350.00
8.97,3.72,-96.00,360.00
9.00,3.70,-94.70,354.00
9.03,3.68,56.50,68.00
9.03,3.73,-93.40,350.00
9.12,3.72,-95.70,358.00
9.12,3.72,-77.20,288.00
9.12,3.70,-74.50,278.00
9.12,3.72,-67.70,252.00
9.21,3.73,-95.60,358.00
9.21,3.72,-76.00,282.00
9.21,3.72,-75.70,282.00
9.24,3.69,8.90,330.00
9.36,3.69,-58.90,4.00
9.36,3.73,-95.70,360.00
9.36,3.72,-74.30,278.00
9.36,3.72,-74.90,282.00
9.36,3.71,-75.10,278.00
9.39,3.72,-42.60,158.00
9.39,3.73,-96.30,360.00
9.42,3.72,-93.90,350.00
9.48,3.73,-95.80,358.00
9.48,3.70,-76.10,282.00
9.48,3.72,-74.20,276.00
9.57,3.72,-94.80,354.00
9.57,3.72,-74.10,278.00
9.57,3.72,-75.50,282.00
9.66,3.69,40.00,200.00
9.66,3.69,51.50,32.00
9.66,3.72,-75.30,282.00
9.66,3.72,-75.50,282.00
9.75,3.72,-96.10,360.00
