Time_s,Voltage_V,Current_mA,Power_mW
6.72,4.07,53.50,212.00
6.75,4.07,52.60,216.00
6.78,4.06,54.60,216.00
6.84,4.04,125.90,508.00
6.84,4.07,53.40,216.00
6.84,4.07,52.90,216.00
6.87,4.06,53.00,212.00
6.90,4.07,52.90,212.00
6.93,4.05,131.70,512.00
6.93,4.06,54.80,216.00
6.96,4.06,51.30,210.00
6.99,4.07,53.00,216.00
7.10,4.07,52.70,212.00
7.10,4.05,127.90,466.00
7.16,4.07,52.00,210.00
7.16,4.06,53.50,216.00
7.32,4.06,53.50,216.00
7.32,4.06,51.40,210.00
7.32,4.05,127.60,514.00
7.32,4.06,52.90,212.00
7.32,4.07,54.10,220.00
7.32,4.07,51.90,206.00
7.32,4.06,53.50,216.00
7.32,4.04,128.10,518.00
7.32,4.06,51.80,210.00
7.32,4.06,52.60,212.00
7.36,4.07,53.00,216.00
7.38,4.07,54.40,220.00
7.41,4.05,129.70,484.00
7.41,4.06,53.50,220.00
7.44,4.06,52.70,212.00
7.47,4.06,52.00,210.00
7.50,4.06,51.70,210.00
7.53,4.05,127.90,514.00
7.53,4.07,54.80,220.00
7.56,4.07,51.20,206.00
7.59,4.06,53.40,216.00
7.62,4.06,52.50,212.00
7.65,4.04,128.20,518.00
7.65,4.06,51.60,210.00
7.68,4.06,52.80,212.00
7.71,4.06,54.80,220.00
7.74,4.07,51.40,210.00
7.77,4.04,131.50,518.00
7.77,4.06,51.80,210.00
7.80,4.06,53.20,216.00
7.83,4.06,51.50,210.00
7.86,4.06,53.10,216.00
7.89,4.04,130.60,498.00
7.89,4.07,51.80,212.00
7.92,4.06,53.60,216.00
7.95,4.06,51.80,210.00
7.98,4.06,53.30,216.00
8.01,4.04,127.60,514.00
8.01,4.06,52.80,212.00
8.04,4.07,54.10,216.00
8.07,4.07,52.70,216.00
8.10,4.06,54.50,216.00
8.13,4.04,125.60,508.00
8.13,4.06,53.50,216.00
8.16,4.06,52.70,212.00
8.19,4.06,52.90,212.00
8.22,4.07,53.00,212.00
8.25,4.04,131.40,518.00
8.25,4.06,55.10,216.00
8.28,4.06,51.70,210.00
8.31,4.06,53.10,216.00
8.34,4.06,52.80,212.00
8.37,4.05,127.30,476.00
8.37,4.07,52.30,210.00
8.40,4.07,53.60,216.00
8.43,4.06,53.40,216.00
8.46,4.06,51.70,210.00
8.49,4.04,128.30,518.00
8.49,4.06,52.70,212.00
8.52,4.07,53.80,216.00
8.55,4.07,51.90,206.00
8.58,4.06,53.70,216.00
8.61,4.04,128.40,518.00
8.61,4.06,51.80,210.00
8.64,4.06,52.40,212.00
8.67,4.06,53.10,216.00
8.70,4.07,54.50,220.00
8.73,4.04,129.20,484.00
8.73,4.06,53.80,216.00
8.76,4.06,53.40,216.00
8.79,4.06,51.90,210.00
8.82,4.06,52.10,212.00
8.85,4.05,127.40,514.00
8.85,4.07,54.60,220.00
8.88,4.07,51.30,206.00
8.91,4.06,53.80,216.00
8.94,4.06,52.10,212.00
8.97,4.05,126.90,512.00
8.97,4.06,51.50,210.00
9.00,4.06,52.60,212.00
9.04,4.07,54.40,220.00
9.06,4.07,51.20,206.00
9.12,4.04,132.00,518.00
9.12,4.06,52.20,212.00
9.12,4.07,53.40,216.00
9.18,4.06,51.90,210.00
9.18,4.06,52.80,212.00
9.21,4.04,132.50,502.00
9.21,4.07,51.70,212.00
9.24,4.06,53.60,216.00
9.27,4.06,51.70,210.00
9.30,4.06,53.40,216.00
9.33,4.04,127.20,514.00
9.33,4.06,53.10,216.00
9.36,4.07,53.70,216.00
9.39,4.07,52.30,216.00
9.42,4.06,53.90,216.00
9.45,4.04,126.20,508.00
9.45,4.06,53.20,216.00
9.48,4.06,52.40,212.00
9.51,4.06,53.10,212.00
9.54,4.07,53.20,212.00
9.57,4.04,131.30,522.00
9.57,4.06,54.90,216.00
9.60,4.06,51.60,210.00
9.63,4.06,53.40,216.00
9.66,4.06,52.80,212.00
9.69,4.05,129.30,478.00
9.69,4.07,52.80,210.00
9.72,4.07,53.40,220.00
9.75,4.06,53.20,216.00
9.78,4.06,51.50,210.00
9.81,4.05,128.00,518.00
9.81,4.06,52.70,212.00
9.84,4.06,53.10,216.00
9.87,4.07,52.30,206.00
9.93,4.06,53.60,216.00
9.93,4.04,129.00,522.00
9.93,4.06,51.20,206.00
9.96,4.07,52.60,212.00
9.99,4.06,52.80,212.00
10.02,4.07,54.00,216.00
10.05,4.04,129.70,484.00
10.05,4.06,53.60,216.00
10.08,4.06,53.30,216.00
10.11,4.06,51.70,210.00
10.14,4.06,52.10,212.00
10.17,4.05,126.80,512.00
10.17,4.06,54.40,220.00
10.20,4.07,51.50,206.00
10.23,4.06,53.40,216.00
10.26,4.06,53.10,216.00
10.29,4.04,127.50,514.00
10.29,4.06,51.70,210.00
10.32,4.07,52.60,212.00
10.35,4.06,54.70,220.00
10.38,4.07,51.00,206.00
10.41,4.04,129.90,512.00
10.41,4.06,52.20,212.00
10.47,4.06,53.30,216.00
10.47,4.06,51.60,210.00
10.50,4.06,52.70,212.00
10.53,4.04,131.40,498.00
10.53,4.07,51.40,210.00
10.56,4.06,53.50,216.00
10.59,4.06,51.80,210.00
10.62,4.06,53.50,216.00
10.65,4.05,126.60,512.00
10.66,4.06,53.00,216.00
10.68,4.07,54.40,216.00
10.74,4.06,52.20,212.00
10.74,4.06,53.90,216.00
10.77,4.04,126.50,512.00
10.77,4.06,53.30,216.00
10.80,4.06,52.20,212.00
10.83,4.06,53.10,212.00
10.86,4.07,53.70,216.00
10.89,4.04,130.70,518.00
10.89,4.06,54.40,216.00
10.92,4.06,51.50,210.00
10.95,4.06,53.20,216.00
10.98,4.06,52.60,212.00
11.01,4.04,131.10,488.00
11.01,4.07,53.20,212.00
11.04,4.07,53.40,220.00
11.07,4.06,54.60,216.00
11.10,4.06,51.30,210.00
11.13,4.04,128.60,518.00
11.13,4.06,53.00,216.00
11.16,4.06,53.20,216.00
11.19,4.06,52.00,210.00
11.22,4.06,53.60,220.00
11.25,4.04,128.90,522.00
11.25,4.06,51.70,210.00
11.28,4.06,52.90,216.00
11.31,4.06,53.00,216.00
11.34,4.06,54.10,220.00
11.37,4.04,129.30,488.00
11.37,4.06,53.40,216.00
11.40,4.06,53.60,216.00
11.43,4.06,51.40,210.00
11.46,4.06,52.50,212.00
11.49,4.05,129.90,524.00
11.49,4.07,54.20,220.00
11.52,4.07,51.60,206.00
11.55,4.06,53.70,216.00
