Time_s,Voltage_V,Current_mA,Power_mW
12.33,4.02,77.30,312.00
12.36,4.02,74.30,292.00
12.39,4.00,159.20,636.00
12.39,4.01,72.10,288.00
12.42,4.02,79.20,318.00
12.44,4.02,73.60,294.00
12.47,4.02,78.70,324.00
12.51,4.00,189.00,420.00
12.51,4.01,74.20,322.00
12.54,4.02,74.40,298.00
12.57,4.01,75.90,304.00
12.60,4.02,77.10,308.00
12.63,4.00,232.10,924.00
12.63,4.02,83.40,314.00
12.65,4.02,72.20,294.00
12.69,4.02,80.30,318.00
12.72,4.02,71.00,286.00
12.78,4.00,192.90,770.00
12.78,4.02,72.00,288.00
12.78,4.01,81.00,324.00
12.80,4.02,75.20,294.00
12.84,4.02,77.90,318.00
12.87,3.99,239.50,954.00
12.87,4.02,78.80,314.00
12.89,4.02,75.20,302.00
12.93,4.02,75.70,304.00
12.96,4.01,78.40,314.00
12.99,4.00,214.20,396.00
12.99,4.02,82.40,304.00
13.02,4.01,74.20,302.00
13.05,4.01,77.60,312.00
13.07,4.02,73.30,294.00
13.10,4.00,244.10,974.00
13.11,4.01,72.80,304.00
13.13,4.02,78.80,318.00
13.17,4.02,74.60,294.00
13.19,4.01,81.70,328.00
13.23,4.00,164.90,658.00
13.23,4.01,81.10,324.00
13.26,4.02,73.80,294.00
13.29,4.02,78.40,328.00
13.32,4.01,76.00,288.00
13.35,3.99,145.30,554.00
13.35,4.01,74.80,298.00
13.38,4.01,74.70,298.00
13.40,4.02,77.20,308.00
13.43,4.02,73.10,292.00
13.47,4.00,237.10,350.00
13.47,4.02,71.30,294.00
13.56,4.01,80.10,314.00
13.56,4.02,73.10,292.00
13.56,4.01,80.40,322.00
13.59,4.00,193.60,764.00
13.59,4.02,78.50,314.00
13.64,4.01,74.80,294.00
13.65,4.02,77.30,322.00
13.67,4.01,76.40,294.00
13.71,4.00,168.00,672.00
13.71,4.02,73.20,294.00
13.74,4.01,76.40,304.00
13.77,4.02,75.90,304.00
13.79,4.02,75.80,328.00
13.83,3.99,176.90,992.00
13.83,4.01,73.40,312.00
13.86,4.02,76.10,304.00
13.89,4.01,73.70,294.00
13.92,4.01,79.60,318.00
13.95,4.00,227.80,338.00
14.01,4.01,81.20,318.00
14.01,4.02,72.60,292.00
14.01,4.01,81.90,328.00
14.04,4.02,71.20,286.00
14.07,4.00,199.90,800.00
14.07,4.02,72.60,292.00
14.09,4.01,79.30,318.00
14.12,4.02,75.70,294.00
14.15,4.02,76.00,318.00
14.18,4.00,156.10,626.00
14.19,4.01,77.00,308.00
14.21,4.02,76.60,308.00
14.24,4.02,74.10,298.00
14.27,4.02,79.80,298.00
14.30,4.00,196.80,448.00
14.31,4.02,83.70,312.00
14.33,4.02,74.40,298.00
14.39,4.01,78.90,318.00
14.40,4.02,72.80,292.00
14.43,4.00,229.60,668.00
14.43,4.02,73.50,294.00
14.46,4.01,79.90,322.00
14.49,4.02,75.10,292.00
14.52,4.01,80.20,322.00
14.56,4.00,173.00,692.00
14.56,4.02,79.30,318.00
14.57,4.02,74.70,298.00
14.60,4.02,76.70,318.00
14.63,4.02,77.50,288.00
14.76,4.00,136.70,610.00
14.76,4.02,76.00,304.00
14.76,4.02,73.40,294.00
14.76,4.02,78.70,314.00
14.76,4.02,72.10,288.00
14.79,4.00,236.90,784.00
14.79,4.02,71.10,288.00
14.82,4.01,79.60,322.00
14.85,4.02,72.20,288.00
14.88,4.01,79.30,318.00
14.91,4.00,223.20,888.00
14.91,4.02,80.20,322.00
14.94,4.01,75.50,294.00
14.97,4.02,75.90,312.00
15.00,4.02,78.10,294.00
15.03,3.99,215.30,858.00
15.03,4.02,74.70,298.00
15.08,4.02,74.80,298.00
15.09,4.01,77.90,312.00
15.12,4.02,74.90,322.00
15.15,4.00,164.20,548.00
15.15,4.01,73.70,302.00
15.18,4.02,77.50,312.00
15.20,4.02,73.30,294.00
15.24,4.01,81.30,324.00
15.26,4.00,223.40,452.00
15.27,4.02,80.60,324.00
15.29,4.02,73.60,292.00
15.33,4.02,80.20,330.00
15.35,4.02,71.60,288.00
15.38,4.00,210.20,838.00
15.39,4.02,73.80,294.00
15.41,4.01,77.00,308.00
15.45,4.02,77.40,294.00
15.47,4.02,74.40,324.00
15.51,3.99,169.90,682.00
15.51,4.01,74.50,298.00
15.54,4.02,78.10,314.00
15.56,4.02,72.80,292.00
15.59,4.01,82.00,302.00
15.63,3.99,183.90,504.00
15.63,4.02,80.40,322.00
15.66,4.02,74.50,292.00
15.69,4.01,80.60,322.00
15.75,4.02,73.10,294.00
15.75,3.99,225.70,898.00
15.75,4.02,74.30,294.00
15.77,4.02,77.40,324.00
15.81,4.02,77.30,292.00
15.83,4.01,81.20,324.00
15.87,4.00,184.20,734.00
15.87,4.02,76.20,304.00
15.90,4.02,77.10,308.00
15.92,4.01,74.80,322.00
15.97,4.01,79.90,294.00
15.98,3.99,139.50,646.00
15.99,4.02,78.80,314.00
16.01,4.02,71.40,286.00
16.04,4.02,80.70,324.00
16.08,4.02,72.50,292.00
16.11,3.99,220.90,698.00
16.11,4.02,71.90,282.00
16.14,4.01,79.10,334.00
16.16,4.01,72.50,292.00
16.20,4.01,80.20,322.00
16.23,3.99,234.80,934.00
16.23,4.01,77.10,308.00
16.26,4.01,78.30,294.00
16.28,4.02,72.80,314.00
16.35,4.01,81.20,302.00
16.35,3.99,154.40,616.00
16.35,4.02,78.20,314.00
16.38,4.02,71.90,288.00
16.41,4.01,81.40,324.00
16.44,4.02,74.10,304.00
16.47,4.00,145.70,960.00
16.47,4.02,74.70,292.00
16.49,4.01,80.60,322.00
16.52,4.02,73.30,294.00
16.55,4.01,78.60,314.00
16.59,4.00,228.30,410.00
16.59,4.01,79.40,334.00
16.62,4.02,76.30,292.00
16.64,4.01,76.20,328.00
16.67,4.01,72.70,292.00
16.71,4.00,215.60,858.00
16.71,4.02,76.30,304.00
16.74,4.02,73.90,294.00
16.76,4.02,80.30,298.00
16.80,4.02,73.60,312.00
16.82,4.00,172.70,692.00
16.83,4.01,72.00,288.00
16.85,4.01,81.00,324.00
16.88,4.02,72.30,288.00
16.92,4.01,80.30,314.00
16.95,4.00,176.50,544.00
16.95,4.01,81.20,328.00
16.98,4.02,72.90,292.00
17.00,4.02,78.10,312.00
17.03,4.02,73.00,292.00
17.06,4.00,235.40,396.00
17.07,4.01,76.40,294.00
17.10,4.02,74.50,312.00
17.12,4.01,79.00,294.00
17.15,4.01,78.80,314.00
17.18,4.00,190.40,756.00
17.18,4.02,73.90,294.00
17.21,4.02,79.00,318.00
17.24,4.02,74.20,314.00
17.27,4.02,80.90,302.00
17.30,4.00,140.50,684.00
17.30,4.01,80.00,322.00
17.33,4.02,71.50,288.00
17.37,4.02,81.30,324.00
17.39,4.02,72.80,292.00
17.45,3.99,216.90,538.00
17.46,4.02,72.30,286.00
17.46,4.01,78.50,322.00
17.49,4.02,72.00,288.00
17.51,4.01,80.70,324.00
17.54,3.99,235.00,934.00
17.55,4.01,77.20,308.00
17.58,4.02,78.30,294.00
17.60,4.02,73.50,318.00
17.63,4.01,81.40,298.00
17.66,3.99,169.40,676.00
17.67,4.02,77.70,312.00
17.70,4.02,72.90,292.00
17.72,4.01,80.50,322.00
17.75,4.02,73.70,308.00
17.79,4.00,153.60,662.00
17.79,4.02,74.30,302.00
17.82,4.01,79.50,318.00
17.84,4.02,73.30,294.00
17.88,4.02,79.60,318.00
17.91,4.00,227.40,476.00
17.91,4.02,80.50,334.00
17.93,4.02,75.30,292.00
17.96,4.01,78.20,322.00
17.99,4.02,71.80,288.00
18.02,3.99,218.70,868.00
18.03,4.02,74.70,298.00
18.05,4.02,75.80,304.00
18.08,4.02,78.10,292.00
18.11,4.01,74.30,322.00
18.14,4.00,170.80,682.00
18.14,4.01,73.80,294.00
18.17,4.01,79.00,318.00
18.20,4.02,72.30,288.00
18.24,4.02,83.10,308.00
18.28,4.00,173.10,606.00
18.28,4.02,79.30,328.00
18.31,4.02,72.80,292.00
18.32,4.01,80.40,322.00
18.35,4.02,72.60,292.00
18.38,4.00,234.10,452.00
18.38,4.02,75.10,298.00
18.41,4.02,77.00,324.00
18.44,4.02,76.50,292.00
18.47,4.02,81.40,324.00
18.50,3.99,189.00,754.00
18.50,4.02,76.70,308.00
18.53,4.02,76.20,304.00
18.56,4.02,75.70,322.00
18.59,4.02,78.50,288.00
18.62,4.00,141.70,692.00
18.63,4.02,76.90,308.00
18.66,4.02,73.70,294.00
18.68,4.01,78.40,314.00
18.72,4.02,72.50,292.00
18.74,4.00,215.40,580.00
18.75,4.02,71.80,298.00
18.78,4.01,79.10,322.00
18.80,4.02,71.10,286.00
18.83,4.02,82.70,330.00
18.86,4.00,237.10,940.00
18.87,4.01,81.30,324.00
18.89,4.02,75.20,294.00
18.92,4.02,78.20,318.00
18.95,4.02,78.00,292.00
19.02,4.00,172.20,684.00
19.02,4.02,74.40,298.00
19.02,4.02,77.70,312.00
19.04,4.01,76.20,304.00
19.07,4.02,75.30,328.00
19.10,4.00,146.90,676.00
19.10,4.01,74.30,314.00
19.13,4.02,74.70,298.00
19.16,4.01,74.50,298.00
19.19,4.01,79.40,318.00
19.22,4.00,227.10,334.00
19.22,4.01,82.20,312.00
19.25,4.02,74.00,302.00
19.28,4.01,80.40,318.00
19.31,4.02,71.20,286.00
19.34,3.99,224.40,898.00
19.34,4.02,72.40,292.00
19.37,4.02,79.90,318.00
19.40,4.02,72.70,286.00
19.43,4.01,80.30,330.00
19.46,4.00,132.50,530.00
19.47,4.02,77.60,312.00
19.49,4.02,73.20,294.00
19.52,4.02,79.00,318.00
19.55,4.02,76.30,294.00
19.58,3.99,169.90,358.00
19.59,4.01,78.60,298.00
19.65,4.01,79.40,318.00
19.65,4.02,73.90,294.00
19.68,4.01,75.20,302.00
19.71,3.99,234.10,934.00
19.71,4.02,74.50,328.00
19.74,4.02,79.70,292.00
19.79,4.02,73.30,304.00
19.80,4.01,78.20,314.00
19.83,4.00,181.00,718.00
19.83,4.01,79.80,322.00
19.86,4.02,72.10,288.00
19.88,4.02,81.10,318.00
19.91,4.02,71.80,288.00
19.95,3.99,128.80,514.00
19.95,4.02,71.70,288.00
19.98,4.01,79.90,322.00
20.00,4.02,71.50,288.00
20.06,4.01,80.60,324.00
20.07,4.00,204.30,292.00
20.07,4.02,76.90,322.00
20.12,4.02,78.20,292.00
20.13,4.02,79.30,318.00
20.15,4.01,75.10,302.00
20.18,4.00,228.10,468.00
20.19,4.01,76.50,298.00
20.21,4.02,75.40,328.00
20.24,4.02,80.00,298.00
20.27,4.01,74.40,314.00
