Time_s,Voltage_V,Current_mA,Power_mW,Fan_State
6.87,3.69,-54.50,200.00,100%
6.90,3.69,-54.70,204.00,100%
6.93,3.69,6.20,22.00,100%
6.93,3.65,78.40,286.00,100%
6.96,3.69,-55.60,216.00,100%
6.99,3.69,-49.70,190.00,100%
7.02,3.69,-58.60,216.00,100%
7.08,3.69,-7.10,82.00,100%
7.08,3.69,-57.10,276.00,100%
7.08,3.69,-56.40,210.00,100%
7.11,3.69,-54.10,200.00,100%
7.14,3.69,-57.00,210.00,100%
7.17,3.69,10.50,40.00,100%
7.17,3.69,72.60,266.00,100%
7.20,3.69,-49.50,190.00,100%
7.23,3.69,-58.40,210.00,100%
7.26,3.69,-50.20,204.00,100%
7.29,3.69,-12.70,78.00,100%
7.29,3.69,6.30,272.00,100%
7.32,3.69,-53.50,196.00,100%
7.35,3.69,-58.90,216.00,100%
7.38,3.69,-51.90,190.00,100%
7.41,3.69,1.90,6.00,100%
7.41,3.69,15.50,56.00,100%
7.44,3.69,-58.00,204.00,100%
7.47,3.69,-47.90,204.00,100%
7.50,3.69,-59.10,196.00,100%
7.53,3.69,-7.20,66.00,100%
7.53,3.69,42.20,294.00,100%
7.56,3.68,-60.00,222.00,100%
7.59,3.69,-52.20,194.00,100%
7.62,3.69,-59.30,220.00,100%
7.65,3.69,12.60,46.00,100%
7.65,3.69,63.00,230.00,100%
7.68,3.69,-49.10,210.00,100%
7.71,3.69,-57.90,184.00,100%
7.74,3.69,-52.90,222.00,100%
7.77,3.69,-13.00,92.00,100%
7.77,3.68,78.20,266.00,100%
7.80,3.69,-48.40,180.00,100%
7.83,3.69,-60.40,222.00,100%
7.86,3.69,-49.80,184.00,100%
7.89,3.69,0.50,4.00,100%
7.89,3.69,78.60,288.00,100%
7.92,3.69,-56.30,186.00,100%
7.95,3.69,-53.40,216.00,100%
7.98,3.69,-54.70,190.00,100%
8.01,3.69,-12.70,58.00,100%
8.01,3.69,-49.70,298.00,100%
8.04,3.69,-59.40,220.00,100%
8.07,3.69,-53.60,196.00,100%
8.10,3.65,-57.30,212.00,100%
8.10,3.69,7.30,26.00,100%
8.13,3.69,77.10,282.00,100%
8.16,3.69,-56.50,210.00,100%
8.22,3.69,-49.40,184.00,100%
8.22,3.69,-59.70,222.00,100%
8.22,3.69,-11.80,78.00,100%
8.25,3.69,-57.70,276.00,100%
8.28,3.69,-56.40,210.00,100%
8.31,3.69,-53.90,200.00,100%
8.34,3.65,-57.70,212.00,100%
8.37,3.69,9.20,32.00,100%
8.37,3.69,71.90,262.00,100%
8.40,3.69,-50.30,186.00,100%
8.43,3.69,-57.50,196.00,100%
8.46,3.69,-49.30,212.00,100%
8.49,3.69,-15.00,86.00,100%
8.49,3.69,24.60,268.00,100%
8.52,3.69,-51.90,190.00,100%
8.55,3.69,-60.70,222.00,100%
8.58,3.64,-50.40,186.00,100%
8.61,3.69,0.00,0.00,100%
8.61,3.69,59.60,216.00,100%
8.64,3.69,-58.70,216.00,100%
8.67,3.68,-49.60,212.00,100%
8.70,3.69,-58.70,196.00,100%
8.73,3.69,-12.10,62.00,100%
8.73,3.68,76.20,298.00,100%
8.76,3.69,-59.30,220.00,100%
8.79,3.69,-49.80,184.00,100%
8.82,3.69,-58.80,216.00,100%
8.85,3.69,11.90,42.00,100%
8.85,3.69,72.00,262.00,100%
8.88,3.69,-50.90,186.00,100%
8.91,3.69,-56.20,186.00,100%
8.94,3.69,-54.40,222.00,100%
8.97,3.69,-15.20,92.00,100%
8.97,3.69,-54.20,262.00,100%
9.00,3.69,-48.50,180.00,100%
9.03,3.69,-61.00,226.00,100%
9.06,3.69,-48.90,180.00,100%
9.12,3.69,-0.20,0.00,100%
9.12,3.69,-51.70,190.00,100%
9.12,3.69,-57.70,212.00,100%
9.15,3.69,-51.90,216.00,100%
9.18,3.69,-48.80,196.00,100%
9.21,3.67,14.90,82.00,100%
9.21,3.64,83.80,26.00,100%
9.24,3.69,-58.20,194.00,100%
9.30,3.69,-57.80,212.00,100%
9.30,3.69,-52.80,194.00,100%
9.33,3.67,17.00,62.00,100%
9.33,3.65,-36.50,134.00,100%
9.36,3.69,-59.60,220.00,100%
9.39,3.69,-50.60,186.00,100%
9.45,3.69,-57.70,194.00,100%
9.45,3.67,24.40,68.00,100%
9.45,3.66,72.80,180.00,100%
9.48,3.68,-50.80,212.00,100%
9.51,3.69,-51.10,190.00,100%
9.54,3.69,-60.70,222.00,100%
9.57,3.67,25.20,92.00,100%
9.57,3.69,71.00,258.00,100%
9.60,3.69,-48.70,180.00,100%
9.63,3.69,-58.40,216.00,100%
9.66,3.69,-49.50,210.00,100%
9.69,3.67,15.50,88.00,100%
9.69,3.66,78.10,206.00,100%
9.72,3.69,-55.40,186.00,100%
9.75,3.69,-58.90,216.00,100%
9.78,3.69,-49.20,180.00,100%
9.81,3.67,17.30,62.00,100%
9.81,3.67,81.30,298.00,100%
9.84,3.69,-59.20,220.00,100%
9.87,3.69,-51.40,190.00,100%
9.90,3.69,-56.20,186.00,100%
9.93,3.67,20.90,62.00,100%
9.93,3.67,74.70,278.00,100%
9.96,3.69,-54.00,216.00,100%
9.99,3.69,-49.10,180.00,100%
10.02,3.69,-60.50,222.00,100%
10.05,3.67,27.30,102.00,100%
10.05,3.65,33.50,124.00,100%
10.08,3.69,-50.30,186.00,100%
10.11,3.69,-58.80,216.00,100%
10.14,3.69,-50.00,212.00,100%
10.17,3.67,16.60,92.00,100%
10.17,3.64,77.00,4.00,100%
10.20,3.69,-55.40,184.00,100%
10.23,3.69,-53.00,216.00,100%
10.26,3.69,-52.00,194.00,100%
10.29,3.68,16.60,62.00,100%
10.29,3.69,82.50,302.00,100%
10.32,3.69,-59.20,220.00,100%
10.35,3.69,-49.50,184.00,100%
10.38,3.69,-57.10,184.00,100%
10.41,3.67,21.90,66.00,100%
10.41,3.65,72.20,176.00,100%
10.44,3.69,-52.00,216.00,100%
10.47,3.69,-54.30,184.00,100%
10.50,3.69,-60.00,222.00,100%
10.53,3.67,27.50,102.00,100%
10.53,3.69,72.00,262.00,100%
10.56,3.69,-49.70,184.00,100%
10.59,3.69,-59.40,220.00,100%
10.62,3.69,-49.80,216.00,100%
10.65,3.67,15.40,88.00,100%
10.65,3.66,78.00,212.00,100%
10.68,3.69,-56.30,186.00,100%
10.71,3.69,-52.20,216.00,100%
10.74,3.69,-51.40,190.00,100%
10.77,3.67,17.00,62.00,100%
10.77,3.68,82.40,304.00,100%
10.80,3.69,-59.80,220.00,100%
10.83,3.69,-50.40,186.00,100%
10.86,3.69,-57.70,186.00,100%
10.92,3.67,18.50,62.00,100%
10.92,3.67,72.70,282.00,100%
10.92,3.69,-53.30,216.00,100%
10.95,3.69,-53.20,176.00,100%
10.98,3.69,-59.60,220.00,100%
11.01,3.67,26.80,98.00,100%
11.01,3.65,31.40,114.00,100%
11.04,3.69,-51.20,190.00,100%
11.10,3.69,-58.10,216.00,100%
11.10,3.69,-51.30,190.00,100%
11.13,3.67,16.50,92.00,100%
11.13,3.64,76.10,16.00,100%
11.16,3.69,-55.10,184.00,100%
11.19,3.69,-53.40,216.00,100%
11.22,3.69,-48.30,176.00,100%
11.25,3.68,15.90,58.00,100%
11.25,3.69,83.10,304.00,100%
11.28,3.69,-60.00,222.00,100%
11.31,3.69,-49.80,184.00,100%
11.34,3.69,-58.70,216.00,100%
11.37,3.67,23.60,66.00,100%
11.37,3.66,72.30,186.00,100%
11.40,3.69,-51.90,216.00,100%
11.43,3.69,-55.70,186.00,100%
11.46,3.68,-58.80,216.00,100%
11.49,3.68,22.90,86.00,100%
11.49,3.69,72.00,266.00,100%
11.52,3.69,-48.80,180.00,100%
11.55,3.69,-59.20,220.00,100%
11.58,3.69,-48.90,180.00,100%
11.61,3.67,16.70,102.00,100%
11.61,3.67,79.70,266.00,100%
11.64,3.69,-58.20,190.00,100%
11.67,3.69,-51.80,216.00,100%
11.70,3.69,-50.30,186.00,100%
11.73,3.67,14.40,52.00,100%
11.73,3.66,64.10,236.00,100%
11.76,3.69,-59.50,220.00,100%
11.79,3.69,-48.40,180.00,100%
11.82,3.69,-58.90,216.00,100%
11.85,3.67,24.30,56.00,100%
11.85,3.65,72.60,114.00,100%
11.88,3.69,-52.40,220.00,100%
11.94,3.69,-56.60,190.00,100%
11.94,3.69,-52.20,220.00,100%
11.97,3.67,23.70,88.00,100%
11.97,3.65,-24.40,88.00,100%
12.03,3.69,-47.50,176.00,100%
12.03,3.69,-59.60,220.00,100%
12.06,3.68,-48.40,180.00,100%
12.09,3.67,16.80,96.00,100%
12.09,3.65,82.20,170.00,100%
12.12,3.69,-60.00,194.00,100%
12.15,3.69,-49.20,212.00,100%
12.18,3.69,-56.80,186.00,100%
12.21,3.67,15.80,58.00,100%
12.21,3.69,79.90,292.00,100%
12.24,3.69,-58.40,216.00,100%
12.27,3.69,-52.60,194.00,100%
12.30,3.68,-58.90,216.00,100%
12.33,3.67,25.40,92.00,100%
12.33,3.66,73.40,190.00,100%
12.36,3.69,-51.80,206.00,100%
12.39,3.69,-58.20,204.00,100%
12.42,3.69,-48.70,204.00,100%
12.45,3.67,19.60,72.00,100%
12.45,3.67,74.10,272.00,100%
12.48,3.69,-53.50,196.00,100%
12.51,3.69,-57.70,212.00,100%
12.54,3.69,-52.90,196.00,100%
12.57,3.67,20.00,68.00,100%
12.57,3.66,80.60,276.00,100%
12.60,3.69,-58.60,226.00,100%
12.63,3.69,-50.60,184.00,100%
12.66,3.69,-56.60,220.00,100%
12.69,3.67,23.90,88.00,100%
12.69,3.65,27.30,102.00,100%
12.72,3.69,-49.90,184.00,100%
12.75,3.69,-59.80,220.00,100%
12.78,3.69,-51.00,190.00,100%
12.81,3.67,17.20,98.00,100%
12.81,3.64,81.60,42.00,100%
12.84,3.69,-59.20,190.00,100%
12.87,3.69,-50.20,212.00,100%
12.90,3.69,-57.90,184.00,100%
12.93,3.67,16.60,62.00,100%
12.93,3.65,-17.60,66.00,100%
12.96,3.69,-58.00,212.00,100%
12.99,3.69,-50.90,186.00,100%
13.02,3.68,-58.20,216.00,100%
13.05,3.66,24.50,88.00,100%
13.05,3.65,74.90,186.00,100%
13.08,3.69,-50.60,190.00,100%
13.11,3.69,-57.80,220.00,100%
13.14,3.69,-49.70,186.00,100%
13.17,3.67,16.90,62.00,100%
13.17,3.69,79.30,288.00,100%
13.20,3.69,-59.30,220.00,100%
13.23,3.69,-50.40,186.00,100%
13.26,3.69,-59.70,220.00,100%
13.29,3.66,25.80,96.00,100%
13.29,3.66,73.30,176.00,100%
13.32,3.69,-49.10,212.00,100%
13.35,3.69,-60.00,196.00,100%
13.41,3.69,-48.70,210.00,100%
13.41,3.67,23.50,86.00,100%
13.41,3.67,73.40,272.00,100%
13.44,3.69,-53.60,196.00,100%
13.47,3.69,-57.10,210.00,100%
13.50,3.69,-53.80,200.00,100%
13.53,3.66,18.50,68.00,100%
13.53,3.66,78.70,276.00,100%
13.56,3.69,-56.00,220.00,100%
13.59,3.69,-54.70,186.00,100%
13.62,3.69,-55.60,216.00,100%
13.65,3.67,9.90,98.00,100%
13.65,3.64,19.60,72.00,100%
13.68,3.69,-50.20,186.00,100%
13.71,3.69,-58.40,216.00,100%
13.74,3.69,-50.50,186.00,100%
13.77,3.67,15.50,56.00,100%
13.78,3.64,81.40,298.00,100%
13.80,3.69,-57.50,186.00,100%
13.83,3.69,-51.40,220.00,100%
13.86,3.69,-57.90,186.00,100%
13.89,3.67,15.80,66.00,100%
13.89,3.65,-41.70,154.00,100%
13.92,3.69,-60.10,222.00,100%
13.95,3.69,-51.70,190.00,100%
13.98,3.69,-59.70,220.00,100%
14.01,3.69,23.40,86.00,100%
14.04,3.65,72.40,266.00,100%
14.04,3.69,-49.40,194.00,100%
14.07,3.69,-59.60,212.00,100%
14.10,3.69,-50.20,200.00,100%
14.13,3.67,2.60,72.00,100%
14.13,3.69,76.70,282.00,100%
14.16,3.69,-56.80,210.00,100%
14.19,3.69,-55.80,206.00,100%
14.25,3.69,-54.30,200.00,100%
14.25,3.69,18.70,68.00,100%
14.25,3.64,78.80,288.00,100%
14.28,3.69,-55.80,216.00,100%
14.31,3.69,-50.90,186.00,100%
14.34,3.69,-58.50,220.00,100%
14.37,3.67,14.50,92.00,100%
14.37,3.67,74.00,262.00,100%
14.40,3.69,-54.20,200.00,100%
14.43,3.69,-57.70,212.00,100%
14.46,3.69,-54.30,200.00,100%
14.49,3.69,19.90,72.00,100%
14.49,3.69,75.00,276.00,100%
14.55,3.69,-52.00,180.00,100%
14.55,3.69,-56.70,216.00,100%
14.58,3.69,-52.20,190.00,100%
14.61,3.67,4.00,58.00,100%
14.61,3.65,82.30,22.00,100%
14.64,3.69,-58.50,216.00,100%
14.67,3.69,-54.60,204.00,100%
14.70,3.69,-55.70,206.00,100%
14.73,3.69,20.20,76.00,100%
14.76,3.69,77.10,282.00,100%
14.76,3.69,-56.30,210.00,100%
14.79,3.69,-50.30,180.00,100%
14.82,3.69,-59.00,226.00,100%
14.85,3.67,12.90,88.00,100%
14.85,3.66,73.60,200.00,100%
14.88,3.69,-53.40,196.00,100%
14.91,3.69,-57.30,212.00,100%
14.94,3.69,-54.70,204.00,100%
14.97,3.69,21.20,78.00,100%
14.97,3.69,73.90,272.00,100%
15.00,3.69,-51.30,190.00,100%
15.03,3.69,-56.50,212.00,100%
15.06,3.69,-50.90,194.00,100%
15.09,3.67,3.40,62.00,100%
15.09,3.68,80.20,288.00,100%
15.12,3.69,-56.70,210.00,100%
15.15,3.69,-55.40,204.00,100%
15.18,3.69,-55.70,206.00,100%
15.21,3.69,19.10,68.00,100%
15.21,3.67,72.90,268.00,100%
15.24,3.69,-56.50,210.00,100%
15.27,3.69,-51.00,176.00,100%
15.30,3.69,-57.10,222.00,100%
15.33,3.67,11.90,96.00,100%
15.33,3.65,73.70,138.00,100%
15.36,3.69,-48.20,190.00,100%
15.39,3.69,-59.30,220.00,100%
15.42,3.69,-53.20,196.00,100%
15.45,3.69,13.30,50.00,100%
15.45,3.69,76.40,278.00,100%
15.48,3.69,-54.80,204.00,100%
15.51,3.69,-54.50,216.00,100%
15.54,3.69,-51.90,176.00,100%
15.57,3.67,2.20,40.00,100%
15.57,3.65,80.70,132.00,100%
15.60,3.69,-55.80,216.00,100%
15.63,3.69,-52.60,194.00,100%
15.66,3.69,-58.70,216.00,100%
15.69,3.69,21.80,78.00,100%
15.69,3.69,73.90,268.00,100%
15.72,3.69,-55.00,204.00,100%
15.75,3.69,-53.40,176.00,100%
15.78,3.69,-54.70,212.00,100%
15.81,3.67,21.10,102.00,100%
15.81,3.66,74.80,200.00,100%
15.84,3.69,-49.20,184.00,100%
15.87,3.69,-58.70,216.00,100%
15.90,3.69,-52.50,194.00,100%
15.93,3.67,18.90,68.00,100%
15.93,3.67,76.90,282.00,100%
15.96,3.69,-56.20,206.00,100%
15.99,3.69,-53.70,200.00,100%
16.02,3.69,-53.20,180.00,100%
16.05,3.67,16.10,58.00,100%
16.05,3.65,70.30,164.00,100%
16.08,3.69,-55.70,216.00,100%
16.11,3.69,-49.00,180.00,100%
16.14,3.69,-60.50,222.00,100%
16.17,3.67,17.30,62.00,100%
16.17,3.65,31.60,118.00,100%
16.23,3.69,-51.20,190.00,100%
16.23,3.69,-57.40,212.00,100%
16.26,3.69,-50.20,212.00,100%
16.30,3.67,15.30,92.00,100%
16.30,3.64,77.30,10.00,100%
16.33,3.69,-55.40,184.00,100%
16.35,3.69,-52.80,220.00,100%
16.38,3.69,-49.80,184.00,100%
16.41,3.67,16.20,58.00,100%
16.41,3.65,-31.00,114.00,100%
16.44,3.69,-59.40,220.00,100%
16.47,3.69,-49.60,184.00,100%
16.50,3.69,-57.60,186.00,100%
16.53,3.67,25.00,76.00,100%
16.53,3.65,71.40,174.00,100%
16.56,3.69,-51.30,216.00,100%
16.59,3.69,-55.60,190.00,100%
16.62,3.69,-59.70,220.00,100%
16.65,3.67,20.30,76.00,100%
16.65,3.69,72.00,266.00,100%
16.68,3.69,-48.80,180.00,100%
16.71,3.69,-59.40,220.00,100%
16.74,3.69,-48.20,210.00,100%
16.77,3.67,16.90,96.00,100%
16.77,3.66,80.50,206.00,100%
16.80,3.69,-57.30,184.00,100%
16.83,3.69,-48.90,212.00,100%
16.86,3.69,-49.80,184.00,100%
16.89,3.67,15.20,56.00,100%
16.89,3.67,79.80,294.00,100%
16.92,3.69,-60.30,222.00,100%
16.95,3.69,-50.30,186.00,100%
